Timestamp,BatteryPercent,Discharging
1760842577,0,No
1760842577,0,No
1760842577,22,No
1760842577,22,No
1760842577,22,No
1760842577,22,No
1760842577,22,No
1760842577,22,No
1760842582,22,No
1760842582,22,No
1760842582,22,No
1760842587,22,Yes
1760842587,22,Yes
1760842587,22,Yes
1760842587,22,Yes
1760842587,22,Yes
1760842587,22,Yes
1760842592,22,Yes
1760842592,22,Yes
1760842592,22,Yes
1760842597,22,Yes
1760842597,22,Yes
1760842597,22,Yes
1760842597,22,Yes
1760842597,22,Yes
1760842597,22,Yes
1760842602,22,Yes
1760842602,22,Yes
1760842602,22,Yes
1760842607,22,Yes
1760842607,22,Yes
1760842607,22,Yes
1760842607,22,Yes
1760842607,22,Yes
1760842607,22,Yes
1760842612,22,Yes
1760842612,22,Yes
1760842612,22,Yes
1760842617,22,Yes
1760842617,22,Yes
1760842617,22,Yes
1760842617,22,Yes
1760842617,22,Yes
1760842617,22,Yes
1760842622,22,Yes
1760842622,22,Yes
1760842622,22,Yes
1760842627,22,Yes
1760842627,22,Yes
1760842627,22,Yes
1760842627,22,Yes
1760842627,22,Yes
1760842627,22,Yes
1760842632,22,Yes
1760842632,22,Yes
1760842632,22,Yes
1760842637,22,Yes
1760842637,22,Yes
1760842637,22,Yes
1760842637,22,Yes
1760842637,22,Yes
1760842637,22,Yes
1760842642,22,Yes
1760842642,22,Yes
1760842642,22,Yes
1760842647,22,Yes
1760842647,22,Yes
1760842647,22,Yes
1760842647,22,Yes
1760842647,22,Yes
1760842647,22,Yes
1760842652,22,Yes
1760842652,22,Yes
1760842652,22,Yes
1760842657,21,Yes
1760842657,21,Yes
1760842657,21,Yes
1760842657,21,Yes
1760842657,21,Yes
1760842657,21,Yes
1760842662,21,Yes
1760842662,21,Yes
1760842662,21,Yes
1760842667,21,Yes
1760842667,21,Yes
1760842667,21,Yes
1760842667,21,Yes
1760842667,21,Yes
1760842667,21,Yes
1760842672,21,Yes
1760842672,21,Yes
1760842672,21,Yes
1760842677,21,Yes
1760842677,21,Yes
1760842677,21,Yes
1760842677,21,Yes
1760842677,21,Yes
1760842677,21,Yes
1760842682,21,Yes
1760842682,21,Yes
1760842682,21,Yes
1760842687,21,Yes
1760842687,21,Yes
1760842687,21,Yes
1760842687,21,Yes
1760842687,21,Yes
1760842687,21,Yes
1760842692,21,Yes
1760842692,21,Yes
1760842692,21,Yes
1760842697,21,Yes
1760842697,21,Yes
1760842697,21,Yes
1760842697,21,Yes
1760842697,21,Yes
1760842697,21,Yes
1760842702,21,Yes
1760842702,21,Yes
1760842702,21,Yes
1760842707,21,Yes
1760842707,21,Yes
1760842707,21,Yes
1760842707,21,Yes
1760842707,21,Yes
1760842707,21,Yes
1760842712,21,Yes
1760842712,21,Yes
1760842712,21,Yes
1760842717,21,Yes
1760842717,21,Yes
1760842717,21,Yes
1760842717,21,Yes
1760842717,21,Yes
1760842717,21,Yes
1760842722,21,Yes
1760842722,21,Yes
1760842722,21,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842727,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842732,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842737,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842742,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842747,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842752,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842757,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842762,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842767,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842772,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842777,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842782,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842787,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842792,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842797,20,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842802,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842807,19,Yes
1760842812,19,Yes
1760842812,19,Yes
1760842812,19,Yes
1760842812,19,Yes
1760842813,19,Yes
1760842813,19,Yes
1760842813,19,Yes
1760842813,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842818,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842823,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842828,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842833,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842838,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842843,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842848,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842853,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842858,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842863,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842868,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842873,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842878,19,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842883,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842888,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842893,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842898,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842903,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842908,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842913,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842918,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842923,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842928,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842933,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842938,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842943,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842948,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842953,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842958,18,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842963,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842968,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842973,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842978,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842983,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842988,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842993,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760842998,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843003,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843008,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843013,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843018,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843023,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843028,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843033,17,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843038,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843043,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843048,16,Yes
1760843053,16,Yes
1760843053,16,Yes
1760843053,16,Yes
1760843053,16,Yes
