Timestamp,BatteryPercent,Discharging
1760844403,22,Yes
1760844403,22,Yes
1760844403,22,Yes
1760844403,22,Yes
1760844403,22,Yes
1760844403,22,Yes
1760844408,22,Yes
1760844408,22,Yes
1760844408,22,Yes
1760844413,22,Yes
1760844413,22,Yes
1760844413,22,Yes
1760844413,22,Yes
1760844413,22,Yes
1760844413,22,Yes
1760844418,22,Yes
1760844418,22,Yes
1760844418,22,Yes
1760844423,22,Yes
1760844423,22,Yes
1760844423,22,Yes
1760844423,22,Yes
1760844423,22,Yes
1760844423,22,Yes
1760844428,22,Yes
1760844428,22,Yes
1760844428,22,Yes
1760844433,21,Yes
1760844433,21,Yes
1760844433,21,Yes
1760844433,21,Yes
1760844433,21,Yes
1760844433,21,Yes
1760844438,21,Yes
1760844438,21,Yes
1760844438,21,Yes
1760844443,21,Yes
1760844443,21,Yes
1760844443,21,Yes
1760844443,21,Yes
1760844443,21,Yes
1760844443,21,Yes
1760844448,21,Yes
1760844448,21,Yes
1760844448,21,Yes
1760844453,21,Yes
1760844453,21,Yes
1760844453,21,Yes
1760844453,21,Yes
1760844453,21,Yes
1760844453,21,Yes
1760844458,21,Yes
1760844458,21,Yes
1760844458,21,Yes
1760844463,21,Yes
1760844463,21,Yes
1760844463,21,Yes
1760844463,21,Yes
1760844463,21,Yes
1760844463,21,Yes
1760844468,21,Yes
1760844468,21,Yes
1760844468,21,Yes
1760844473,21,Yes
1760844473,21,Yes
1760844473,21,Yes
1760844473,21,Yes
1760844473,21,Yes
1760844473,21,Yes
1760844478,21,Yes
1760844478,21,Yes
1760844478,21,Yes
1760844483,21,Yes
1760844483,21,Yes
1760844483,21,Yes
1760844483,21,Yes
1760844483,21,Yes
1760844483,21,Yes
1760844488,21,Yes
1760844488,21,Yes
1760844488,21,Yes
1760844493,21,Yes
1760844493,21,Yes
1760844493,21,Yes
1760844493,21,Yes
1760844493,21,Yes
1760844493,21,Yes
1760844498,21,Yes
1760844498,21,Yes
1760844498,21,Yes
1760844503,20,Yes
1760844503,20,Yes
1760844503,20,Yes
1760844503,20,Yes
1760844503,20,Yes
1760844503,20,Yes
1760844508,20,Yes
1760844508,20,Yes
1760844508,20,Yes
1760844513,20,Yes
1760844513,20,Yes
1760844513,20,Yes
